Realm Name,Export Time,PMktPrice Date,Reserved,Item ID,Item Name,AH MarketPrice Coppers,AH Quantity,AH MarketPrice,AH MinimumPrice,14-day Median Market Price,Median Market Price StdDev,14-day Todays PMktPrice,PMktPrice StdDev,Daily Price Change,Avg Daily Posted,Avg Estimated Daily Sold,Estimated Demand
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,35,Bent Staff,0,0,0,0,999,591.89,389.42,530.09,-0.0777,1.07,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,39,Recruit's Pants,0,0,0,0,4,0,4,0,0,0.14,0.07,0.5
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,40,Recruit's Boots,0,0,0,0,4,0,4,0,0,0.14,0.07,0.5
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,49,Footpad's Shirt,0,0,0,0,9500,0,9500,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,56,Apprentice's Robe,2000000,1,200,200,200,44.72,116.36,31.62,-0.0471,1,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,57,Acolyte's Robe,2000000,1,200,200,105.13,63.34,45.19,28.84,-0.1597,2.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,117,Tough Jerky,115999,73,11.5999,5.5,0.97,10.42,18.66,5.73,0.2309,69.71,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,118,Minor Healing Potion,10000,7,1,1,0.5,16.18,1.78,16.14,-0.0859,49,18.64,0.3804
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,159,Refreshing Spring Water,3750,8,0.375,0.375,7.53,7.64,13.74,6.57,0.0246,46.64,0.64,0.0137
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,414,Dalaran Sharp,0,0,0,0,1,0,1,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,647,Destiny,7500000,4,750,750,1747,2325.64,439.44,1984.69,-0.1164,12.07,0.43,0.0356
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,720,Brawler Gloves,0,0,0,0,400,0,414,0,0.0025,0.07,0.07,1
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,723,Goretusk Liver,1068,13,0.1068,0.1068,0.16,0.33,0.03,0.28,-0.1285,64.64,13.07,0.2022
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,724,Goretusk Liver Pie,0,0,0,0,1.82,0,1.82,0,0,1.07,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,727,Notched Shortsword,500000,1,50,50,8.67,60.03,53.06,54.8,0.0736,1.21,0.79,0.6529
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,754,Shortsword of Vengeance,0,0,0,0,180,557.01,33,437.84,-0.1724,2,0.14,0.07
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,765,Silverleaf,22500,1130,2.25,0.4799,0.5,0.2,0.42,0.19,-0.0292,1694.79,692.43,0.4086
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,767,Long Bo Staff,0,0,0,0,800,0,800,0,0,0.21,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,769,Chunk of Boar Meat,9380,47,0.938,0.5,0.62,0.39,0.55,0.41,-0.0158,161.71,42.93,0.2655
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,774,Malachite,44065,17,4.4065,4.329,1.88,1.89,1.06,1.8,-0.0733,142.43,75.79,0.5321
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,783,Light Hide,3400,24,0.34,0.34,0.67,0.66,1.22,0.6,0.0379,170.29,36.29,0.2131
